X,Y,Z,X_new,Y_new,Z_new
-1.5461388,-0.1580999,-4.4689318,-1.6211893163103557,-0.16577416515886903,-4.685856463520356
-1.4240589,-0.4841733,-4.4612122,-1.4871159029589756,-0.5056123831803073,-4.658753657657417
-1.2726579,-0.7875869,-4.4498159,-1.3256348457960287,-0.8203717894121212,-4.635048440289584
-1.0978921,-1.0630144,-4.439851,-1.134226112820622,-1.098194158409871,-4.586784931991724
-0.910009,-1.3130732,-4.4208365,-0.9336835693594122,-1.3472337880242784,-4.535847890377316
-0.6879152,-1.5337736,-4.3985385,-0.72757439585745,-1.6221976202911437,-4.652119900524417
-0.435586,-1.7026284,-4.382306,-0.4523058201709758,-1.767983210912188,-4.550519322407489
-0.1569472,-1.8121714,-4.366007,-0.16518214628507819,-1.9072551870210803,-4.595089348237338
0.1397343,-1.8700928,-4.3482093,0.14474342976193433,-1.937131011105356,-4.504081871127845
-1.3948772,0.175191,-4.4841147,-1.4708008754415705,0.18472671011432704,-4.728186700836758
-1.2911367,0.4556758,-4.5132758,-1.3546285892435947,0.47808374288055355,-4.735216983469879
-1.1223279,0.7195954,-4.5186897,-1.1602946463655077,0.7439382823586994,-4.671550504533446
-0.8942148,0.9571776,-4.5172868,-0.9407613193385568,1.0070015188937975,-4.752424909315578
-0.6321037,1.1625025,-4.5200015,-0.6682820715986397,1.2290381767083434,-4.778703187544953
-0.3334976,1.3239909,-4.5150511,-0.34464682593817536,1.3682535084391256,-4.665994689508012
-0.0231749,1.4416739,-4.4969501,-0.023907947570448868,1.4872756307420762,-4.639193576573137
0.3022599,1.5113333,-4.4777677,0.31043141341134856,1.5521917808304628,-4.598822920402882
-0.1568189,-1.4090278,-3.940762,-0.16152770571315297,-1.451336719107527,-4.05909137624085
0.0377087,-1.3658292,-3.7581141,0.03875188022184627,-1.403613743297969,-3.8620792406853486
-0.2027842,-1.2644062,-3.6898964,-0.2111801581426088,-1.3167569330968343,-3.842670707490242
-0.4100933,-1.1668588,-3.9811503,-0.42944821995516747,-1.2219303134165391,-4.169046189510975
0.0345325,-1.565696,-4.123133,0.035966992204058135,-1.6307355629023383,-4.294409395997823
-0.2603469,-1.5061887,-4.1799206,-0.2678664645327804,-1.5496917458522634,-4.300648685080322
-0.276736,-1.5901762,-4.3271219,-0.29302186620122866,-1.6837577970079,-4.5817722826744856
-0.0331421,-1.6569983,-4.3044091,-0.0345256481750178,-1.7261712544589085,-4.4841007114197655
-0.4003911,-1.3612965,-4.0802551,-0.4238295177142894,-1.440985174398607,-4.319108369752149
-0.5812425,-1.1136828,-4.0804499,-0.5979845466327625,-1.1457611999306754,-4.197982741298513
-0.5684989,-1.3886091,-4.2430466,-0.5988574679869914,-1.4627626010352788,-4.469630712437283
-1.0461702,-0.2934311,-4.0671702,-1.0882673270440526,-0.3052385537922951,-4.230830167201498
-0.5973902,-0.8771777,-3.857852,-0.6141700535667226,-0.9018163923622021,-3.966213656488653
-0.8004006,-0.6189591,-3.6241194,-0.8517892402512897,-0.6586985336288128,-3.8568010947342612
-0.9715992,-0.1982664,-3.7487268,-1.0096865080653543,-0.20603856928112824,-3.895679280492419
-0.8887736,-0.6344398,-4.0220681,-0.9351939777497287,-0.6675763998894008,-4.232139506865746
-0.8789879,-0.5218505,-3.8610527,-0.8971699863598528,-0.532645109183963,-3.9409195487146897
-0.9431646,-0.6863077,-4.1363093,-0.974313700513449,-0.7089738046549604,-4.272915693136906
-1.1491971,-0.7311318,-4.305095,-1.2009359915992874,-0.7640486503340218,-4.498918012196631
-0.8166729,-1.11969,-4.2838832,-0.8521639715699284,-1.1683496260585273,-4.47005272423475
-1.3007007,-0.1328381,-4.3072829,-1.3213056243646653,-0.1349424419160502,-4.375516305557263
-1.0923793,-0.5272951,-4.1858309,-1.1265856670420566,-0.5438066264726071,-4.316904482354941
-1.2860635,-0.4255982,-4.3564772,-1.3131780641741626,-0.434571248147551,-4.448326459863665
-0.992034,0.0825969,-4.0431905,-1.0330367964559235,0.0860107989980084,-4.210303841986287
-0.8369731,0.2922399,-3.8605107,-0.8630370165152385,0.30134045096874873,-3.980729651589943
-1.1419611,0.0037901,-4.1803493,-1.2059908481072263,0.004002610871255771,-4.41474144582635
-0.9795871,0.2927595,-4.2517736,-1.0304117616167585,0.3079489635225305,-4.472371599392874
-1.253225,0.2164365,-4.4634077,-1.3074942927670175,0.22580900356796949,-4.656689815509872
-1.1167354,0.4852856,-4.4962465,-1.149700297453276,0.4996107391865534,-4.62897114076732
-0.8275372,0.5816447,-4.2753717,-0.8657151634403263,0.6084785512055526,-4.472613569557533
-0.6046389,0.71229,-4.234666,-0.6222647480661688,0.7330539887527108,-4.358110885082602
-0.6530191,0.8259869,-4.3691664,-0.6760866167669771,0.8551644028709781,-4.523504640933096
-0.943215,0.6077403,-4.4404668,-0.9764627987304153,0.6291628040682795,-4.596990759474236
-0.3208037,0.7648091,-4.1676459,-0.32838801102403004,0.7828904066944318,-4.266175694835981
-0.3987045,0.6539255,-3.8719816,-0.41567826127086444,0.6817646022071,-4.036820700947142
-0.0728735,0.849815,-3.984938,-0.07594515339347374,0.8856351146997864,-4.152905070752502
0.0370007,0.9647497,-4.0805975,0.03835956417966002,1.000180484003215,-4.230458928955675
-0.2331952,1.1589399,-4.3049309,-0.24272414994508504,1.2062971367547097,-4.480841343538931
-0.3794904,0.9229431,-4.298984,-0.39818330820107284,0.9684053584474168,-4.5107430149049375
-0.129403,1.0191886,-4.2009433,-0.13226999349397817,1.0417692749869532,-4.294017472234578
-0.1310715,1.2626893,-4.4481608,-0.1348564272364083,1.299151743190864,-4.576609509016405
-0.4724087,1.0923818,-4.4208105,-0.4936082909647112,1.1414030126434058,-4.619196715860335
0.0798164,1.2354318,-4.2888722,0.08320656432801588,1.2879061889483423,-4.471040044451254
0.1703288,1.1088321,-4.1565916,0.17650357513686474,1.1490295820584513,-4.307276736428959
