X,Y,Z,X_new,Y_new,Z_new
-1.8494087,-0.1866548,-4.6891505,-1.905005357,-0.19226599,-4.830115065
1.82335,-0.0382476,-4.4747409,1.940432994,-0.040703598,-4.762077977
-1.7952351,-0.4712183,-4.6797921,-1.853983634,-0.486638779,-4.832936904
-1.6729633,-0.7409701,-4.6703527,-1.750071736,-0.775122102,-4.885613605
-1.5103682,-1.0030077,-4.6580628,-1.548944169,-1.028625291,-4.777033319
-1.3157219,-1.2302692,-4.6388829,-1.363105596,-1.274575449,-4.805945117
-1.0866237,-1.4288093,-4.6271942,-1.139282028,-1.498050114,-4.851430346
-0.841436,-1.5881539,-4.6180845,-0.865677263,-1.633907655,-4.751128726
-0.5688791,-1.7117394,-4.6060971,-0.592384646,-1.782466851,-4.79641667
-0.2802306,-1.7868963,-4.5895338,-0.292423473,-1.864644411,-4.789225066
0.0303543,-1.8060941,-4.5775173,0.031099811,-1.850452316,-4.689942507
0.3389427,-1.7670223,-4.5669386,0.349818617,-1.823722111,-4.713481492
0.6296338,-1.6752116,-4.5543202,0.658225867,-1.751284013,-4.761134747
0.903049,-1.5359672,-4.5436373,0.934589637,-1.589613662,-4.702332137
1.1296182,-1.3596974,-4.5320391,1.17641097,-1.416020862,-4.719772146
1.3430146,-1.1352537,-4.5186603,1.396256168,-1.180258935,-4.697795033
1.5234487,-0.8820192,-4.5053035,1.560515268,-0.903479342,-4.614920673
1.66673,-0.6015575,-4.4894943,1.724538874,-0.622421924,-4.64520795
1.7742529,-0.3147245,-4.4813648,1.809108011,-0.320907247,-4.569400991
1.4803795,-0.2784091,-4.2521477,1.511919649,-0.284340731,-4.342741614
1.3304805,-0.3957993,-4.1163568,1.396205354,-0.415351523,-4.319702096
1.4025663,-0.0875979,-4.0967505,1.446197661,-0.090322916,-4.224193174
1.6598674,-0.1629579,-4.360097,1.712533443,-0.168128402,-4.498438808
1.3775452,-0.5562179,-4.2551744,1.41189685,-0.570088227,-4.361285083
1.218479,-0.6608051,-4.1171092,1.248235565,-0.67694267,-4.217653424
1.5728673,-0.4977773,-4.3846169,1.628938667,-0.515522633,-4.540924724
1.0675764,-0.8350258,-4.0741276,1.103544395,-0.863158872,-4.211390096
1.4125998,-0.7651082,-4.3491143,1.447752221,-0.78414785,-4.457341625
1.1625724,-1.0084678,-4.2867617,1.179546874,-1.023192225,-4.349351801
0.9797896,-1.0221743,-4.1940771,1.036211241,-1.081036684,-4.435594987
1.2433925,-1.044972,-4.428907,1.295041384,-1.088378758,-4.612877953
0.4479065,-1.3210042,-4.1153135,0.4622414,-1.363281913,-4.247020911
0.7927811,-1.1285403,-3.950527,0.816634889,-1.162496662,-4.069393402
0.7545308,-1.231867,-4.2106742,0.771488526,-1.259552634,-4.30530713
0.9606503,-1.2253673,-4.3501528,0.988859272,-1.261349542,-4.477892664
0.7913459,-1.467547,-4.4598152,0.827884634,-1.535307899,-4.665737795
0.639731,-1.4283783,-4.3092672,0.658270384,-1.469772658,-4.434149627
0.2502692,-1.4405108,-4.2294923,0.259789436,-1.495307807,-4.390382118
-0.0431634,-1.4859437,-4.2241245,-0.045324157,-1.560329938,-4.435583879
0.4369492,-1.5662387,-4.4507678,0.453623678,-1.626008149,-4.620614157
0.170101,-1.536292,-4.3529346,0.174977486,-1.580334696,-4.477725314
0.1150328,-1.659293,-4.4794405,0.118499992,-1.709305584,-4.614454868
-0.4712809,-1.2990486,-4.0491124,-0.493100261,-1.359191947,-4.236578189
-0.695746,-1.2201885,-4.0826724,-0.713497502,-1.251320807,-4.186839102
-0.8974356,-1.0371009,-3.9243322,-0.934423015,-1.079844559,-4.08607183
-0.3345935,-1.4364443,-4.2042399,-0.348353343,-1.49551672,-4.37713531
-0.593037,-1.367679,-4.2189162,-0.611916233,-1.411218831,-4.353224687
-0.121086,-1.5827835,-4.3476694,-0.125065225,-1.634798193,-4.490545978
-0.250451,-1.6747624,-4.4953466,-0.261407419,-1.748027825,-4.692003439
-0.4168934,-1.5503847,-4.35465,-0.43469949,-1.616603759,-4.540643081
-0.5010994,-1.604146,-4.4680566,-0.515858776,-1.651394499,-4.599658692
-0.8509346,-1.2086906,-4.1964258,-0.885331157,-1.257548403,-4.36605411
-1.083722,-1.0131062,-4.0942159,-1.110291938,-1.037944829,-4.194595022
